date_seen	source_name	source_url	paper_url	title	authors	abstract	keywords	pub_date	place	category	viewed	read	bookmarked	labelled	impactful_researcher	impactful_institution	image_url
20220601	AI Alignment Forum	https://www.alignmentforum.org	https://arxiv.org/abs/2206.11831	On Avoiding Power-Seeking by Artificial Intelligence	Turner, Alexander Matt	We do not know how to align a very intelligent AI agent's behavior with human interests. I investigate whether -- absent a full solution to this AI alignment problem -- we can build smart AI...		2022-06									
20260915	Papers With Code newsletter** — https://paperswithcode.com	https://paperswithcode.com	https://arxiv.org/abs/2609.13141	SAS: Simple Attention Sparsification via End-to-End Optimization of Context Ranking	Zhiwei Li, Lei Zhu, Hao Gu, Xiang Hu, Yan Wang, Haitao Mi, Sirui Han, Leo Liang, Zhijiang Guo	Post-training attention sparsification reduces the quadratic cumulative attention cost of pretrained Transformers by selecting a small set of context units (tokens or blocks) for each query. Existing trainable methods usually use a lightweight selector to score context units, followed by hard Top-K selection that blocks gradients from the language modeling loss. Consequently, these methods commonly distill layer-wise dense attention distributions. Although this encourages the selector to rank context units by dense attention weights in the original model, the ranking is not directly aligned with their impact on predictions under a fixed attention budget (i.e., the number of attended context units per query), potentially wasting the limited budget on less useful units. To address this misalignment, we propose Simple Attention Sparsification (SAS), a gated sparse attention mechanism that optimizes context ranking end-to-end with the language modeling loss. The key idea is to inject the selector's continuous scores into attention logits during training, allowing the loss to update the selector through standard backpropagation. We identify several choices crucial for this simple design to work well in practice: placing the gate inside the attention softmax in log form, using normalized softmax gates to calibrate historical context against the always-retained current block, and preserving continuous selector scores so the model learns relative priorities rather than only hard selections. To support long-sequence training, we implement a memory-efficient Triton kernel that integrates SAS into FlashAttention-style computation. Across reasoning, long-context understanding, and agentic tasks, SAS consistently outperforms trainable sparse attention baselines across attention budgets, with especially large gains under tight budgets, demonstrating more effective context ranking for downstream tasks.	cs.CL	2026-09-11		models					true	true	
20260301	Papers With Code newsletter** — https://paperswithcode.com	https://paperswithcode.com	https://arxiv.org/abs/2603.08127	EvoScientist: Towards Multi-Agent Evolving AI Scientists for End-to-End Scientific Discovery	Lyu, Yougang, Zhang, Xi, Yi, Xinhao, Zhao, Yuyue, Guo, Shuyu, Hu, Wenxiang, Piotrowski, Jan, Kaliski, Jakub, Urbani, Jacopo, Meng, Zaiqiao, Zhou, Lun, Yan, Xiaohui	The increasing adoption of Large Language Models (LLMs) has enabled AI scientists to perform complex end-to-end scientific discovery tasks requiring coordination of specialized roles, including...		2026-03									
	Nature Machine Intelligence	https://www.nature.com/natmachintell	https://www.nature.com/articles/s42256-026-01314-9	Publisher Correction: Quantum neural operators with implicit quadratic frame and expressivity advantages	Ruocheng Wang, Xiaoqiu Zhong, Zhuo Xia, Junchi Yan	"<p>Nature Machine Intelligence, Published online: 14 September 2026; <a href=""https://www.nature.com/articles/s42256-026-01314-9"">doi:10.1038/s42256-026-01314-9</a></p>Publisher Correction: Quantum neural operators with implicit quadratic frame and expressivity advantages"			Nature Machine Intelligence	vision					true		
20260915	arXiv cs.AI / cs.LG / stat.ML	https://arxiv.org/list/cs.LG/recent	https://arxiv.org/abs/2609.15987	Bellman Policy Optimization	Zhuoqing Song, , Haotian Xu, , Xikun Zhang, , Lidong Bing	Reinforcement learning with verifiable rewards (RLVR) improves the reasoning capabilities of large language models (LLMs). We introduce Bellman Policy Optimization (BPO), a critic-free method derived from Policy Mirror Descent (PMD). For autoregressive generation with terminal rewards, BPO uses the Bellman equations to reformulate PMD as a trajectory-level objective. The reformulation avoids estimating state values at intermediate states. We prove that it has the same unique optimal solution as the original PMD objective. We derive the practical BPO loss by approximating this objective. Its mismatch-correction weight is a smoothed ratio of complementary token probabilities. Experiments on mathematical reasoning benchmarks demonstrate the effectiveness of BPO.	cs.CL, cs.LG, math.OC	2026-09-14		models					true		
20260915	arXiv cs.AI / cs.LG / stat.ML	https://arxiv.org/list/cs.LG/recent	https://arxiv.org/abs/2609.15982	The Router Within: Eliciting Native Skill Routing from a Frozen LLM	Ruishuo Chen, , Xun Wang, , Yu Chen, , Zhuoran Li, , Longbo Huang			2026-09							true	true	
20260915	arXiv cs.AI / cs.LG / stat.ML	https://arxiv.org/list/cs.LG/recent	https://arxiv.org/abs/2609.15980	A Chosen Future Can Still Be Rewritten: Causal Writability in Video Models	Xingyun Wang, , Haomin Zheng, , Man Yuan, , Leqian Yang, , Ziming Liu			2026-09		vision							
20260915	arXiv cs.AI / cs.LG / stat.ML	https://arxiv.org/list/cs.LG/recent	https://arxiv.org/abs/2609.15950	Privacy-Aligned Personalized Federated Learning with Compact Adaptation and Variable-Length Gaussian Communication	Yilin Xu, , Chun Hei Michael Shiu, , Chih Wei Ling, , Linqi Song			2026-09		training							
20260915	arXiv cs.AI / cs.LG / stat.ML	https://arxiv.org/list/cs.LG/recent	https://arxiv.org/abs/2609.15915	Safe Meta-Reinforcement Learning via Information Space Reachability	Zeyang Li, , Sunbochen Tang, , Navid Azizan			2026-09									
20260915	arXiv cs.AI / cs.LG / stat.ML	https://arxiv.org/list/cs.LG/recent	https://arxiv.org/abs/2609.15903	Discrete Beckmann Transport Models for One-Step Language Modeling and Reasoning	Sophia Tang, , Shiyi Wang			2026-09		models							
20260915	arXiv cs.AI / cs.LG / stat.ML	https://arxiv.org/list/cs.LG/recent	https://arxiv.org/abs/2609.15885	Privacy-enhanced federated learning via asynchronous aggregation and local differential perturbation	Zhen Zhong,  (1), Shini Yang,  (2), Liesheng Wei,  (3) ((1) Georgetown University, Washington, D.C., USA, (2) LinkedIn, CA, USA, (3) Shanghai Ocean University, Shanghai, China)			2026-09		training							
20260915	arXiv cs.AI / cs.LG / stat.ML	https://arxiv.org/list/cs.LG/recent	https://arxiv.org/abs/2609.15883	Learning Multimodal One-step Flow Policy via Value-weighted Optimal Transport	Jaehun Shon, , Jinha Choi, , Jongwook Jeon, , Jongmin Lee			2026-09		vision							
20260915	arXiv cs.AI / cs.LG / stat.ML	https://arxiv.org/list/cs.LG/recent	https://arxiv.org/abs/2609.15871	LLM-Based Schema-Aware Split Learning for Privacy-Preserving Mental Distress Prediction Across Heterogeneous Surveys	Md Khalid Syfullah, , Alvi Ataur Khalil			2026-09									
20260915	arXiv cs.AI / cs.LG / stat.ML	https://arxiv.org/list/cs.LG/recent	https://arxiv.org/abs/2609.15857	Task-Directed Residual AddUNet:Perfect-Reconstruction Routing for Full-Rate Representations	Vikram R. Lakkavalli			2026-09		models							
