institution	citations	country	institution_url
University of Montreal	1119944		
UC Berkeley	979954		
Stanford University	970624		
National Taiwan University	937649		
Nanjing University	622594		
MIT	549474		
Shanghai Jiao Tong University and Tsung-Dao Lee Institute	503258		
Courant Institute	479047		
Google DeepMind	476554		
Tsinghua University	475215		
Duke University	440159		
New York University	426340		
National University of Singapore	382660		
Université de Montréal	373641		
Central South University	334463		
Max Planck Institute for Astrophysics	321346		
University of Oxford	319417		
Director, Max Planck Institute for Intelligent Systems & ELLIS Institute Tübingen	287530		
University of Illinois	285085		
Physical Intelligence	282262		
Amazon FAR	268359		
Argonne National Lab	266286		
The Hong Kong Polytechnic University	260649		
The Dow Chemical Company, University of Illinois at Urbana-Champaign	247336		
Carnegie Mellon University	236741		
Johannes Kepler University Linz	233549		
Edith Cowan University	231681		
University of California	230255		
University of Amsterdam	226116		
Associate Professor, The University of Hong Kong	223872		
Shanghai Jiao Tong University	215556		
北京华夏春松科技有限公司	212074		
National Cheng Kung University	209773		
Nanyang Technological University	208509		
Michigan State Univ.	202192		
University of Toronto	200935		
Co-founder at BottleCap AI	200927		
Rice University	188106		
Zhejiang University	180737		
University of Science and Technology of China	177705		
Northwest A & F University	160694		
University of Washington	159393		
LANL	150356		
Redmond	145429		
Jilin University	145034		
sensetime	141932		
Shenzhen Institutes of Advanced Technology, CAS	140172		
Renmin University of China	133222		
University of California Los Angeles	132608		
University of Massachusetts Amherst	130751		
Formerly The University of Arizona	129840		
United States	128217		
University of Cambridge	127219		
UCLA	124962		
National University of Defense Technology	123589		
University of Toronto (starting July 1	122643		
ETH Zurich	121947		
Fuzhou University and Shanghai University	117326		
Huazhong University of Science and Technology	116213		
Apple	113992		
Jiangnan University	111318		
Mila - Quebec AI Institute	110952		
Institute of Community Health Care	110808		
Massachusetts Institute of Technology	110593		
Microsoft	109087		
student university of Michigan	106948		
TeleAI of China Telecom 中国电信人工智能研究院	99301		
Prof. at HUST	99226		
WSU	98336		
St. Jude Children's Research Hospital	97904		
Stanford University / NVIDIA	97693		
University of Sydney, Australia	96211		
Ohio Eminent Scholar/Winbigler Chair Prof. The Ohio State University	91902		
uum	90987		
Professor, Tsinghua University	90208		
The Chinese University of Hong Kong	89818		
University of Science & Technology of China	89183		
Distinguished Scientist at Microsoft	87710		
Westlake University	86482		
Doctor of Chongqing Communication Institute	85158		
Xiamen University	84739		
Stealth Startup	84560		
Yale University	84241		
Harvard University	82899		
Research scientist at Facebook AI Research	82624		
Google DeepMind & Mila	81259		
UIUC	80171		
Institute of Metal Research	80058		
University of Maryland at College Park	79374		
University of Pennsylvania	78149		
Harvard University / Google Research	78025		
Beijing Visual Science and Translational Eye Research Institute (BERI)	76947		
Google Research	76683		
GE Global Research	75997		
Coder	74565		
California Institute of Technology and NVIDIA	74394		
South China University of Technology	74358		
KAIST	74119		
Meta SuperIntelligence Labs	74021		
Genome Institute of Singapore	73247		
Alibaba Group	72415		
Highly Cited Researcher	71673		
Beihang University	70785		
Copenhagen Business School	70041		
Google DeepMind & University of Alberta	69611		
Assistant Professor at CMU	69108		
Ph.D student, CBNU	67865		
Meta	67673		
Institute of Computing Technology	66790		
Griffith …	66662		
German	65567		
Professor, Courant Institute of Mathematical Sciences.	64668		
City University of Hong Kong	63529		
Institute of Geology and Geophysics	62967		
University of Oxford / Scientific Director	62457		
XTX Markets & University of Texas at Austin	62184		
Max Planck Institute for Intelligent Systems	61875		
Microsoft Research	61823		
University of Illinois at Urbana–Champaign	61628		
Shandong …	58964		
University Foundation Professor of Computer Science and Engineering	58674		
Beijing Jiaotong University	58087		
Cornell University	57796		
University of Maryland	57503		
University of Toronto and Vector Institute	57435		
NVIDIA	57102		
UC San Diego	56689		
Love Vashikaran Astrology	56396		
Swinburne University of Technology	56366		
University of Colorado Boulder	55333		
Stanford	53859		
The University of …	53138		
Staff engineer of Mentor Graphics	52988		
University of Wollongong	52851		
The Pennsylvania State University	51807		
Technical University of Munich	51633		
FAIR at Meta	51360		
Professor at University of Illinois Urbana-Champaign	51315		
Princeton University	50750		
HKUST	50638		
Professor of Physics	50574		
Tsinghua Univerisity	50024		
University of Macau	49610		
EPFL	49504		
The Alan Turing Institute	49388		
Sun Yat-Sen (Zhongshan) University	48908		
Shell	48894		
Texas A&M University	47902		
The Hong Kong University of Science and Technology	46667		
City University of HK	46214		
University of Southern California	45626		
University of Rochester	45498		
Chinese Academy of Meteorological Sciences	45306		
University of the Chinese Academy of Sciences	45093		
Vice President, AWS AI	45077		
UCSD	44469		
Fudan University & Shanghai Innovation Institute & Mosi.AI	43897		
Inc.	43499		
Professor @ Edinburgh University	43454		
Université de Montréal)	42929		
CCDS	41993		
Rachleff University Professor, University of Pennsylvania	41252		
Harbin Institute of Technology (Shenzhen)	40912		
Director of Industrial Catalysis Center at Tsinghua & Honorary Professor at UCL	40302		
Blanton Eye Institute	40017		
Distinguished AI Scientist at Meta Inc.	39584		
UC Irvine	39575		
Professor of Electrical Engineering @ Technion & Researcher @ Nvidia	38980		
CSIRO and University of New South Wales	38840		
University Maryland College Park	38744		
A*STAR	38529		
MIT-IBM Watson AI Lab	38300		
Microsoft GenAI	37733		
National Institutes of Health	37255		
TokenRhythm Technologies	36716		
Allen Institute for AI	36691		
RPI-IBM AIRC	36462		
Peking University	35739		
Agricultural Genomics Institute at Shenzhen	35536		
Professor, Computer Science, University of British Columbia	34341		
meituan	33805		
Institute of High Energy Physics	33370		
Wuhan University / CSIRO Environment / Flinders University	33170		
CISPA Helmholtz Center	32630		
Institute of Chemistry	32463		
University of Illinois at Urbana …	32377		
Google	31851		
University of Cambridge and Flower Labs	31777		
Meta MRS Research	31708		
Harbin Institute of Technology	31373		
Kyung Hee University	30810		
Tel Aviv University	30428		
Professor at University of New South Wales	30404		
PhD, Stanford	30354		
University of Sydney	30043		
EleutherAI	29716		
Tsinghua Univ. (AIR)，Microsoft	29194		
University of Virginia	28861		
Soochow University	28573		
Beijing Academy of Artificial Intelligence	28573		
Allen Institute for AI (AI2)	28135		
The University of North Carolina at Chapel Hill	28134		
Associate Professor of EECS & Statistics at UC Berkeley	27500		
Ex Senior Researcher, Microsoft Research	27491		
Northwestern …	26822		
Shenzhen MSU-BIT University	26331		
Centers for Disease Control and Prevention	26250		
Los Alamos National Laboratory	25419		
Recursive Superintelligence Inc	25398		
Eindhoven University of Technology	24847		
London School of Hygiene and Tropical Medicine	24769		
PhD Supervisor @ University of Oxford	24660		
Associate Professor, University of Minnesota	24317		
Scientific Director, INSAIT, Sofia University	23708		
New York State Institute for Basic Research in Developmental Disabilities	23624		
Google Brain	22985		
Alibaba DAMO Academy	22715		
Sun Yat-sen University	22674		
Western University	22668		
Institute of Automation	22526		
UC Davis (see my DBLP for recent publications)	22513		
Subharti Medical College Meerut	21893		
Wuhan University. Previously Renmin U. of China. Peking U. and UPenn	21806		
ICT Endowed Chair Professor	21576		
University College London	21034		
Member of Technical Staff	20881		
Adobe Research	20548		
EPFL. Amazon Scholar (AGI Foundations).	20331		
École polytechnique fédérale de Lausanne	19503		
Sony	19465		
Shandong University	19310		
The University of Texas at Austin	19194		
Beijing Univ of Aeronautics and …	19058		
University of Michigan	18901		
University of Melbourne & Mohamed bin Zayed University of Artificial Intelligence	18790		
UNC Chapel Hill	18762		
Indian Institute of Technology Bombay	18624		
Research scientist at Inria	18556		
A*STAR/SMU	18393		
Switzerland	18364		
Indiana University	17955		
California Institute of Technology	17812		
Member of technical staff @ Anthropic	17811		
Visiting Researcher @INFK,ETHz	17658		
DeepAuto	17338		
Technical University of Munich (TUM)	17192		
Researcher & Entrepreneur	16752		
CA	16541		
Georgia Tech	15989		
reasercher	15888		
University of Dundee	15776		
Assistant Professor, Harvard University	15478		
Caltech	15281		
Google & University of Pennsylvania (EE	15267		
Georgia Institute of Technology	15199		
Huawei Noah's Ark Lab/Tianjin University	15136		
Southeast University	14695		
Fudan University	14551		
UCSF	14466		
Brookhaven National Laboratory	14410		
Microsoft AI Superintelligence	14392		
Research Professor of Pediatrics, University of Washington	14239		
Associate Professor at Northwestern University	14045		
Constructor University	13763		
Johannes Kepler University (JKU) Linz	13750		
UMass Amherst	13684		
Department of Biomedical Engineering …	13644		
Indian Institute of Technology	13609		
University of Exeter	13541		
Facebook AI	13260		
The University of Tokyo	13026		
The Ohio State University	13014		
Phenikaa University	12053		
University of Pittsburg Medical Center	12005		
Researcher at Shanghai AI Laboratory	11905		
Advanced R&D at Adeia	11852		
University of Waterloo	11713		
Institute of AI for Industries	11704		
UCL	11697		
Purdue University	11532		
Virginia Tech	11286		
AWS	11266		
Hong Kong Polytechnic University	11248		
Johns Hopkins University	10956		
Politecnico di Milano	10831		
Miguel de Cervantes European University …	10544		
KTH	10250		
xAI	10085		
Innopolis University	9844		
Singapore Management University	9777		
Institute of Biophysics	9682		
Shantou University	9395		
NY	8591		
Hong Kong University of Science and Technology	8443		
Operations and Statistics at NYU Stern	8434		
Assistant Professor of Electrical and Computer Engineering at University of Texas at Austin	8433		
KAIST Computer Science	8402		
Tufts University	8386		
Research Scientist at NVIDIA Research	8221		
浙江大学	8197		
Independent currently	8103		
Yonsei University College of Medicine	8060		
Datadog & Salesforce Research	7647		
Southern University of Science and Technology (SUSTech)	7493		
BUPT	7451		
Shanghai AI Lab	7439		
Hangzhou Normal University	7419		
UC Berkeley and UCSF	7241		
Massachusetts General Hospital	7220		
The University of Hong Kong	7213		
Ecole polytechnique	7065		
University of Liverpool	7019		
University of Toledo	6637		
Max Planck Institute	6486		
ex MIT-IBM Watson AI Lab	6329		
PhD Candidate @ University of Washington	6276		
University of Tübingen and Max Planck Institute for Intelligent Systems	6180		
Associated Professor at Shanghai University	6170		
Rutgers University	6040		
Dongyang University	5946		
Shenzhen Institue of Big Data	5907		
Assistant Professor at University of Washington	5870		
Mohamed bin Zayed University of Artificial Intelligence	5839		
Mckinsey & Company	5594		
Guangdong University of Technology	5346		
MBZUAI	5332		
Zhejiang University & Westlake University	5283		
Samsung Electronics	5280		
Institute of Nanoscience and Technology (INST)	5211		
Jump Trading	5151		
Simon Fraser University	4903		
The University of Texas	4745		
ETH Zürich	4714		
Toyota Research Institute	4690		
University of Western Ontario	4681		
AI Researcher	4550		
Jiangsu University	4297		
Northwestern University	4286		
Faculty@ELLIS Institute Tübingen & MPI for Intelligent Systems	4103		
University of California San Diego	4045		
Redwood Research	3884		
University of Edinburgh	3845		
Johnson and Johnson Vision	3823		
Computer Science Ph.D. at Stanford University	3800		
Associate Professor at Technion - Israel Institute of Technology	3727		
Research Scientist at OpenAI	3699		
University of Illinois at Urbana-Champaign	3576		
North Carolina State University	3498		
Beijing Institute of Technology	3405		
Johns Hopkins University Applied Physics Labs	3343		
OpenAI	3243		
VIT UNIVERSITY	3237		
Thinking Machines Lab	3167		
University of Central Florida	3086		
IBM	2940		
Zhejiang Ocean University	2838		
MIRAI	2811		
University of Minnesota at Twin Cities	2729		
KAIST Kim Jaechul Graduate School of AI	2699		
Technical University of Dresden	2673		
Courant Institute of Mathematical Sciences	2649		
Harvard University / NTT …	2610		
Eurofins Microbiology	2555		
Institute of AI	2447		
Iowa State University	2292		
Associate Professor at Concordia University and Mila Quebec AI Institute	2285		
Tencent Hunyuan	2225		
Arizona State University	2205		
Université Gustave-Eiffel (Paris-Est)	2146		
ByteDance Seed	2100		
Novo Nordisk A/S	2087		
Institute for Protein Design	2027		
Emory University	1977		
Goodfire AI	1965		
IIT-KGP	1944		
VinUniversity	1739		
Meissa	1722		
Huawei Cloud	1697		
Technical University of Munich (TUM) & German Aerospace Center (DLR)	1679		
ENS de Lyon & EPFL	1678		
Anthropic	1663		
Basic Research of Artificial Intelligence Lab	1643		
University of Maryland, College Park	1596		
CMU	1484		
Sungkyunkwan University	1479		
Yunnan University of Finance and …	1419		
University of Bristol	1413		
University of Guelph	1364		
MSR India	1342		
IBM Research	1328		
Senior Lecturer at Technion	1320		
Babol noshirvani university of technology	1210		
Oregon State University	1204		
西安交通大学	1177		
UT Austin	1173		
PhD Student at ETH Zurich	1160		
Ecole Nationale Des Ponts	1144		
Yonsei University	969		
LG Electronics	855		
Sichuan University	782		
After Thought	745		
ZJU	715		
Bytedance Seed	683		
Huawei	677		
National Chiao Tung University	674		
NMBU and University of Oslo	635		
University of Chinese Academy of Sciences (UCAS)	615		
CISPA Helmholtz Center for Information Security	610		
Tianjin University	606		
Technion	593		
Concordia University & Mila	577		
Shandong Technology and Business University	575		
University of Wisconsin - Madison	524		
Moscow Institute of Physics and Technology	520		
Columbia University	497		
ML Researcher	446		
Shenzhen Research Institute of Big Data	420		
Google Deepmind	377		
Skolkovo Institute of Science and Technology	350		
University of Illinois Urbana-Champaign	309		
南京大学	297		
Virginia Commonwealth University	296		
epfl	296		
Harvard TH Chan School of Public Health	282		
Postdoctoral Researcher at CISPA Helmholtz Center for Information Security	276		
PhD student at the Swiss AI Lab (IDSIA USI-SUPSI)	264		
Post doc at UNC Chapel Hill	192		
Independent	160		
University of California Berkeley	139		
Center of AI-driven Drug Design (aiddd.ai)	137		
Ph.D. student	113		
China university of petroleum (Beijing)	110		
UC Berkeley Electrical Engineering and Computer Science	65		
PhD student at Mila/McGill	53		
Queen Mary University	7		
