author	total	models	training	safety	memory	vision	voice	other	scholar_url	affiliation	citations
Yarin Gal	21	5	3	4	0	3	0	6	https://scholar.google.com/citations?hl=en&user=SIayDoQAAAAJ	Professor of Machine Learning, University of Oxford	70815
Neel Nanda	19	0	0	19	0	0	0	0	https://scholar.google.com/citations?hl=en&user=GLnX3MkAAAAJ	Mechanistic Interpretability Team Lead, Google DeepMind	16801
Bo Li	18	3	1	7	3	2	0	2	https://scholar.google.com/citations?hl=en&user=K8vJkTcAAAAJ	University of Illinois at Urbana–Champaign	61628
Sergey Levine	17	3	6	1	0	4	0	3	https://scholar.google.com/citations?hl=en&user=8R35rCwAAAAJ	UC Berkeley, Physical Intelligence	255932
Haoxuan Li	14	5	0	0	0	2	0	7	https://scholar.google.com/citations?hl=en&user=gtDqiucAAAAJ	Peking University	2296
Jun Wang	12	2	1	1	1	3	0	4	https://scholar.google.com/citations?hl=en&user=S0jdSPEAAAAJ	Director of Industrial Catalysis Center at Tsinghua & Honorary Professor at UCL	40302
Bryan Low	11	1	3	0	0	1	0	6	https://scholar.google.com/citations?hl=en&user=2P-Q09UAAAAJ	Department of Computer Science, National University of Singapore	7445
Ion Stoica	11	0	2	0	3	1	0	5	https://scholar.google.com/citations?hl=en&user=vN-is70AAAAJ	Professor of Computer Science, UC Berkeley	206397
Pieter Abbeel	11	1	4	0	1	5	0	0	https://scholar.google.com/citations?hl=en&user=vtwH6GkAAAAJ	UC Berkeley | Amazon FAR	268359
Shuang Li	11	2	3	1	0	1	0	4	https://scholar.google.com/citations?hl=en&user=aLx99vUAAAAJ	student university of Michigan	106948
Hao Wang	10	2	1	2	0	2	0	3	https://scholar.google.com/citations?hl=en&user=iFDbK4EAAAAJ	Distinguished Professor of Composite Materials, Swinburne University of Technology	56366
Hao Zhang	10	1	1	1	2	3	0	2	https://scholar.google.com/citations?hl=en&user=nF2X0oMAAAAJ	Professor of Physics, Sun Yat-Sen (Zhongshan) University	48908
James Zou	10	3	0	2	0	2	0	3	https://scholar.google.com/citations?hl=en&user=23ZXZvEAAAAJ	Stanford University	81806
Yang Liu	10	2	1	0	0	4	0	3	https://scholar.google.com/citations?hl=en&user=VhovGm0AAAAJ	Michigan State Univ.	202192
Zhenghan Chen	10	6	0	0	0	3	0	1	https://scholar.google.com/citations?hl=en&user=UkQ5A_QAAAAJ	Zhejiang University	62
Bernhard Schölkopf	9	2	1	2	0	1	0	3	https://scholar.google.com/citations?hl=en&user=DZ-fHPgAAAAJ	Director, Max Planck Institute for Intelligent Systems & ELLIS Institute Tübingen; Professor at …	287530
Chao Yang	9	3	1	0	0	1	0	4	https://scholar.google.com/citations?hl=en&user=7DYEAvcAAAAJ	uum	90987
Stefano Ermon	9	2	0	1	0	3	0	3	https://scholar.google.com/citations?hl=en&user=ogXTOZ4AAAAJ	Stanford University	131730
Tim Rudner	9	3	2	2	0	1	0	1	https://scholar.google.com/citations?hl=en&user=MbBntPgAAAAJ	Assistant Professor, University of Toronto	4184
Volkan Cevher	9	3	4	0	0	0	0	2	https://scholar.google.com/citations?hl=en&user=hlWhzU8AAAAJ	Professor, LIONS, EPFL. Amazon Scholar (AGI Foundations).	20331
Yang Yu	9	1	3	2	0	1	0	2	https://scholar.google.com/citations?hl=en&user=bmj-orAAAAAJ	University College London	21034
Aaron Courville	8	5	2	0	0	1	0	0	https://scholar.google.com/citations?hl=en&user=km6CP8cAAAAJ	Full Professor, DIRO, Université de Montréal, Mila, Cifar CAI chair	362130
Andrew Wilson	8	4	1	0	0	2	0	1	https://scholar.google.com/citations?hl=en&user=qi7fvXoAAAAJ	Microsoft Research	39568
Dawn Song	8	0	0	3	1	1	0	3	https://scholar.google.com/citations?hl=en&user=84WzBlYAAAAJ	Professor of Computer Science, UC Berkeley	168974
Kenji Kawaguchi	8	2	0	2	0	2	0	2	https://scholar.google.com/citations?hl=en&user=aLl3rYoAAAAJ	Presidential Young Professor, National University of Singapore	13624
Li Shen	8	1	2	1	2	1	0	1	https://scholar.google.com/citations?hl=en&user=ABbCaxsAAAAJ		61603
Quanquan Gu	8	1	2	0	0	4	0	1	https://scholar.google.com/citations?hl=en&user=GU9HgNAAAAAJ	Associate Professor of Computer Science, UCLA	31575
Tom Rainforth	8	3	0	1	0	1	0	3	https://scholar.google.com/citations?hl=en&user=ieLRNKMAAAAJ	Associate Professor, University of Oxford	5860
Trevor Darrell	8	1	2	0	0	5	0	0	https://scholar.google.com/citations?hl=en&user=bh-uRFMAAAAJ	Professor of Computer Science, UC Berkeley	338191
William Wang	8	1	2	1	0	1	0	3	https://scholar.google.com/citations?hl=en&user=gf8Ms_8AAAAJ	Mellichamp Chair Professor, University of California, Santa Barbara	41213
Xu Chen	8	3	1	0	0	1	0	3	https://scholar.google.com/citations?hl=en&user=gBuVIbAAAAAJ	Mechanical Engineering, University of California, Berkeley	39246
Yang Yang	8	3	1	0	0	1	0	3	https://scholar.google.com/citations?hl=en&user=7Q8Zk38AAAAJ	Professor of Physics, Shanghai Jiao Tong University and Tsung-Dao Lee Institute	503258
Chelsea Finn	7	0	3	0	1	1	0	2	https://scholar.google.com/citations?hl=en&user=vfPE6hgAAAAJ	Stanford University, Physical Intelligence	134339
Enhong Chen	7	3	1	0	0	0	0	3	https://scholar.google.com/citations?hl=en&user=Q9h02J0AAAAJ	University of Science and Technology of China	50141
Furong Huang	7	2	2	0	0	2	0	1	https://scholar.google.com/citations?hl=en&user=13yyuCcAAAAJ	Associate Professor of Computer Science, University of Maryland	10982
Jie Zhang	7	0	1	1	0	5	0	0	https://scholar.google.com/citations?hl=en&user=R4OuQ2YAAAAJ	City University of HK	46214
Junchi Yan	7	1	1	0	1	1	0	3	https://scholar.google.com/citations?hl=en&user=ga230VoAAAAJ	ACM-MM26 PC & JMLR/TPAMI AE & FIAPR & ICML Board, SJTU (18-), MBZUAI (26), AWS …	42520
