rank	name	affiliation	citations	scholar_url
1	Yoshua Bengio	University of Montreal / Mila / CIFAR	1119944	https://scholar.google.com/citations?user=kukA0LcAAAAJ
2	Ilya Sutskever	Safe Superintelligence Inc	820270	https://scholar.google.com/citations?user=x04W_mMAAAAJ
3	Jian Sun	Megvii Research	764750	https://scholar.google.com/citations?user=ALVSZAYAAAAJ
4	Shaoqing Ren	USTC	517394	https://scholar.google.com/citations?user=AUhj438AAAAJ
5	Quoc V. Le	Google	456450	https://scholar.google.com/citations?user=vfT6-XIAAAAJ
6	Oriol Vinyals	Google DeepMind	440916	https://scholar.google.com/citations?user=NkzyCvUAAAAJ
7	Ian Goodfellow	DeepMind	433863	https://scholar.google.com/citations?user=iYN86KEAAAAJ
8	Alec Radford	Independent	380114	https://scholar.google.com/citations?user=dOad5HoAAAAJ
9	Diederik P. Kingma	Anthropic	371568	https://scholar.google.com/citations?user=yyIoQu4AAAAJ
10	Piotr Dollár	Thinking Machines	359833	https://scholar.google.com/citations?user=a8Y2OJMAAAAJ
11	Noam Shazeer	Google	359535	https://scholar.google.com/citations?user=wsGvgA8AAAAJ
12	Trevor Darrell	UC Berkeley	338191	https://scholar.google.com/citations?user=bh-uRFMAAAAJ
13	Christian Szegedy	Researcher	337038	https://scholar.google.com/citations?user=bnQMuzgAAAAJ
14	Koray Kavukcuoglu	DeepMind	336102	https://scholar.google.com/citations?user=sGFyDIUAAAAJ
15	Christopher D Manning	Stanford University	329345	https://scholar.google.com/citations?user=1zmDOdwAAAAJ
16	Jimmy Ba	University of Toronto	325641	https://scholar.google.com/citations?user=ymzxRhAAAAAJ
17	Andrew Ng	Stanford University	319164	https://scholar.google.com/citations?user=mG4imMEAAAAJ
18	Karen Simonyan	Microsoft AI	309346	https://scholar.google.com/citations?user=L7lMQkQAAAAJ
19	Ashish Vaswani	Startup	298643	https://scholar.google.com/citations?user=oR9sCGYAAAAJ
20	Niki Parmar	Essential AI	288800	https://scholar.google.com/citations?user=q2YXPSgAAAAJ
21	Aidan Gomez	Cohere	279180	https://scholar.google.com/citations?user=2oq9614AAAAJ
22	Illia Polosukhin	NEAR	274093	https://scholar.google.com/citations?user=3SyxFIAAAAAJ
23	Ruslan Salakhutdinov	CMU	268084	https://scholar.google.com/citations?user=ITZ1e7MAAAAJ
24	Richard Socher	Recursive / you.com	245583	https://scholar.google.com/citations?user=FaOcyfMAAAAJ
25	Sepp Hochreiter	Johannes Kepler University Linz	233549	https://scholar.google.com/citations?user=tvUH3WMAAAAJ
26	Alex Smola	Boson AI	220443	https://scholar.google.com/citations?user=Tb0ZrYwAAAAJ
28	Kyunghyun Cho	New York University	205745	https://scholar.google.com/citations?user=0RAmmIAAAAAJ
29	Naman Goyal	Facebook AI Research	191622	https://scholar.google.com/citations?user=CRbM_P4AAAAJ
30	Ming-Hsuan Yang	UC Merced / Google DeepMind	178928	https://scholar.google.com/citations?user=p9-ohHsAAAAJ
31	Timothy P. Lillicrap	Google DeepMind	177269	https://scholar.google.com/citations?user=htPVdRMAAAAJ
32	Soumith Chintala	Meta AI	171720	https://scholar.google.com/citations?user=36ofBJgAAAAJ
33	Alexey Dosovitskiy	Recursive	166702	https://scholar.google.com/citations?user=FXNJRDoAAAAJ
34	Rewon Child	Inflection	159065	https://scholar.google.com/citations?user=eC3VWhAAAAAJ
35	Kilian Weinberger	Cornell University	156509	https://scholar.google.com/citations?user=8RVWMycAAAAJ
36	Thomas Unterthiner	Helsing	154267	https://scholar.google.com/citations?user=QCARd5gAAAAJ
37	Gilles Louppe	University of Liège	153924	https://scholar.google.com/citations?user=F_77d4QAAAAJ
38	Scott Reed	Google Research	151528	https://scholar.google.com/citations?user=jEANvfgAAAAJ
39	Mostafa Dehghani	Google DeepMind	147027	https://scholar.google.com/citations?user=MiHOX3QAAAAJ
40	Mark Jenkinson	University of Adelaide	145637	https://scholar.google.com/citations?user=-6XiFkUAAAAJ
41	Jianfeng Gao	Microsoft Research	145429	https://scholar.google.com/citations?user=CQ1cqKkAAAAJ
42	Pranav Shyam	Google DeepMind	144742	https://scholar.google.com/citations?user=TAomEzQAAAAJ
44	Ioannis Antonoglou	Reflection AI / DeepMind	143177	https://scholar.google.com/citations?user=3ka3LZAAAAAJ
47	Wei Liu	Meta AI	140452	https://scholar.google.com/citations?user=yFMX138AAAAJ
48	Alexander Kolesnikov	Meta	135475	https://scholar.google.com/citations?user=H9I0CVwAAAAJ
50	Arvind Neelakantan	Google DeepMind	134226	https://scholar.google.com/citations?user=ygTCc6cAAAAJ
51	Frank Hutter	Prior Labs / University of Freiburg	134009	https://scholar.google.com/citations?user=YUrxwrkAAAAJ
55	Tim Salimans	Google DeepMind Amsterdam	122990	https://scholar.google.com/citations?user=w68-7AYAAAAJ
57	Christopher Olah	Anthropic	117444	https://scholar.google.com/citations?user=6dskOSUAAAAJ
59	Hugo Touvron	Facebook AI Research	114916	https://scholar.google.com/citations?user=xImarzoAAAAJ
60	Pierre Sermanet	UMA.bot	114419	https://scholar.google.com/citations?user=0nPi5YYAAAAJ
61	Jiaya Jia	HKUST / CUHK	114331	https://scholar.google.com/citations?user=XPAkzTEAAAAJ
62	Dzmitry Bahdanau	ServiceNow Research	114111	https://scholar.google.com/citations?user=Nq0dVMcAAAAJ
63	Sharan Narang	Waymo	112653	https://scholar.google.com/citations?user=CWOixywAAAAJ
64	H. Brendan McMahan	Google	112340	https://scholar.google.com/citations?user=iKPWydkAAAAJ
65	Ping Luo (羅平)	University of Hong Kong	111936	https://scholar.google.com/citations?user=aXdjxb4AAAAJ
66	Mike Schuster	Two Sigma	111403	https://scholar.google.com/citations?user=L9lS9_AAAAAJ
